"crmid","relcrmid"
"1370","1035"
"2610","1370"
"1328","1274"
"1373","1274"
"2585","2553"
"2421","1214"
"1097","1380"
"1098","1380"
"2758","865"
"2761","865"
"2312","1251"
"1468","2250"
"1231","2250"
"1326","2250"
"1468","1326"
"1231","1326"
"2730","2732"
"2731","2730"
"2733","2730"
"2734","2730"
"2735","2730"
"2732","2731"
"2733","2731"
"2734","2731"
"2735","2731"
"1233","2604"
"1235","1335"
"1323","2263"
"2233","2263"
"2365","2263"
"2233","1323"
"2365","1323"
"2233","2365"
"2574","2624"
"2755","842"
"2759","842"
"2625","2624"
"2522","2352"
"2666","1428"
"2757","1240"
"2757","1428"
"931","1236"
"2258","2277"
"2528","2277"
"1035","2610"
"2214","2429"
"2259","1398"
"1264","1452"
"2547","1232"
"2549","1232"
"2317","1460"
"2414","2392"
"2523","2392"
"2483","2362"
"2414","2523"
"2385","1349"
"2547","2549"
"2303","1349"
"2529","2573"
"2758","2761"
"2303","2385"
"2759","2755"
"2614","1270"
"1271","1270"
"1271","2614"
"1325","1339"
"1014","1245"
"2459","2255"
"1501","2255"
"2459","1501"
"2529","2526"
"2526","2573"
"953","2774"
"903","852"
"1486","852"
"2590","2527"
"1490","863"
"2562","2245"
"2780","2781"
"1354","2272"
"2782","2788"
"2791","2792"
"2793","2794"
"2796","2797"
"2798","2799"
"1328","1373"
"2801","2800"
"1136","2317"
"1137","2317"
"2701","2317"
"2362","2802"
"2483","2802"
"2464","2429"
"2214","2464"
"2621","2513"
"2281","2621"
"2390","2621"
"2478","2621"
"1159","1409"
"2760","1409"
"1262","1261"
"2649","1261"
"1262","2649"
"1190","2247"
"2732","2812"
"2735","2812"
"2827","2828"
"2838","2837"
"2436","2541"
"1240","1428"
"1381","1229"
"1329","1477"
"1018","1395"
"2360","2226"
"2390","2281"
"2478","2281"
"2513","2281"
"2461","1433"
"2787","2840"
"1294","1319"
"1475","2237"
"1404","1493"
"2844","2845"
"2844","2846"
"2845","2846"
"2851","2853"
"2854","2855"
"2858","2857"
"2861","2862"
"1510","2866"
"2861","2866"
"2862","2866"
"2875","2874"
"2876","2863"
"2878","2877"
"2879","2877"
"2880","2877"
"2881","2877"
"2879","2878"
"2880","2878"
"2881","2878"
"2880","2879"
"2881","2879"
"2881","2880"
"1301","896"
"918","896"
"1301","918"
"1365","918"
"896","1365"
"1301","1365"
"1352","2335"
"2863","2885"
"2876","2885"
"2888","2889"
"2790","2868"
"2867","2868"
"2790","2867"
"2418","2445"
"2892","2445"
"2865","2893"
"2870","2871"
"1227","2871"
"2869","2861"
"2843","2852"
"2808","2894"
"2859","2895"
"2896","2898"
"2897","2898"
"2899","2898"
"2897","2896"
"2899","2896"
"2897","2899"
"2900","2773"
"2758","2903"
"2761","2903"
"1324","1463"
"2906","2912"
"2906","2913"
"2912","2913"
"2848","2872"
"1322","1450"
"2907","2916"
"1344","2917"
"845","981"
"846","981"
"979","981"
"2921","2923"
"2922","2923"
"2747","2923"
"2921","2747"
"2922","2747"
"2925","2924"
"2927","2926"
"2929","2928"
"2931","2930"
"2933","2932"
"2935","2934"
"2937","2936"
"2939","2938"
"2937","2940"
"2927","2941"
"2943","2942"
"2418","2944"
"1431","2261"
"2946","2945"
"1513","2955"
"2860","2856"
"2957","2445"
"2957","2418"
"2892","2957"
"2944","2957"
"2944","2445"
"1323","2958"
"2233","2958"
"2263","2958"
"2365","2958"
"2953","2952"
"2960","2962"
"825","824"
"826","824"
"1170","2968"
"2997","2360"
"2999","2360"
"2226","2997"
"2999","2997"
"2226","2999"
"3000","3001"
"3002","3003"
"3004","3003"
"3005","3003"
"3004","3005"
"3002","3005"
"3004","3002"
"3006","3007"
"3008","3009"
"1319","3013"
"1319","3014"
"3013","3014"
"1294","3014"
"2433","3034"
"3016","3033"
"3019","3035"
"3020","3036"
"3021","3038"
"3022","3038"
"3023","2858"
"1163","3039"
"2908","3039"
"3026","3039"
"3027","3040"
"3028","3040"
"3030","3041"
"3031","3041"
"2433","3042"
"2895","3024"
"2952","3029"
"3012","3025"
"3045","3046"
"3047","3048"
"3049","3050"
"3049","3051"
"3050","3051"
"3052","3053"
"3054","3055"
"2969","3056"
"3010","3056"
"3057","3058"
"3061","3062"
"1401","3062"
"2659","3062"
"2659","1401"
"3061","1401"
